Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,131.97875,-93.188154,-90.0,top
C2,47pF,C_0402_1005Metric,130.97875,-93.188154,-90.0,top
C3,220pF,C_0402_1005Metric,123.2,-98.3,90.0,top
C4,220pF,C_0402_1005Metric,127.97875,-90.988154,-90.0,top
C5,0.1uF,C_0402_1005Metric,124.2375,-98.3,90.0,top
C6,0.1uF,C_0402_1005Metric,124.4,-92.388154,-90.0,top
C7,15pF,C_0402_1005Metric,125.57875,-90.788154,0.0,top
C8,100nF,C_0402_1005Metric,120.2,-97.9,0.0,bottom
C9,4.7nF,C_0402_1005Metric,120.4,-99.0,0.0,bottom
C10,15pF,C_0402_1005Metric,130.6,-90.4,180.0,top
C11,220pF,C_0402_1005Metric,128.5,-98.9,180.0,top
C12,220pF,C_0402_1005Metric,117.2,-83.2,-90.0,top
C13,100pF,C_0402_1005Metric,123.2,-94.788154,0.0,top
C14,100pF,C_0402_1005Metric,123.2,-95.788154,0.0,top
C15,1pF,C_0402_1005Metric,121.6,-94.5,-90.0,top
C16,1pF,C_0402_1005Metric,120.05875,-95.8,180.0,top
C17,1.8pF,C_0402_1005Metric,118.45875,-96.65,90.0,top
C18,15pF,C_0402_1005Metric,123.1,-88.6,180.0,top
C19,1.5pF,C_0402_1005Metric,117.55,-93.75,-90.0,top
C20,15pF,C_0402_1005Metric,118.6,-88.2,-90.0,top
C21,0.1uF,C_0402_1005Metric,116.6,-86.0,90.0,top
C22,47pF,C_0402_1005Metric,117.6,-86.0,90.0,top
C23,220pF,C_0402_1005Metric,119.6,-80.4,0.0,top
C24,220pF,C_0402_1005Metric,125.6,-80.75,-90.0,top
C25,220pF,C_0402_1005Metric,121.0,-88.4,90.0,top
C26,0.1uF,C_0402_1005Metric,124.5,-80.75,-90.0,top
C27,0.1uF,C_0402_1005Metric,124.2,-87.0,90.0,top
C28,220pF,C_0402_1005Metric,131.65875,-95.988154,90.0,top
C29,100pF,C_0402_1005Metric,125.25,-84.4,180.0,top
C30,100pF,C_0402_1005Metric,125.25,-83.4,180.0,top
C31,1pF,C_0402_1005Metric,126.8,-84.75,90.0,top
C32,1pF,C_0402_1005Metric,128.4,-83.35,0.0,top
C33,1.8pF,C_0402_1005Metric,130.1,-82.3,-90.0,top
C34,1.5pF,C_0402_1005Metric,131.1,-85.2,90.0,top
L1,1.2nH,L_0402_1005Metric,121.6,-96.5,-90.0,top
L2,1.2nH,L_0402_1005Metric,120.05,-94.788154,0.0,top
L3,1.2nH,L_0402_1005Metric,118.0,-95.2,0.0,top
L4,1.2nH,L_0402_1005Metric,126.8,-82.8,90.0,top
L5,1.2nH,L_0402_1005Metric,128.4,-84.4,180.0,top
L6,1.2nH,L_0402_1005Metric,130.6,-83.8,180.0,top
R1,56K 1%,R_0402_1005Metric,125.8,-98.7,180.0,top
R2,56K 1%,R_0402_1005Metric,122.4,-80.4,0.0,top
U1,CC2500,Texas_S-PVQFN-N20_EP2.4x2.4mm,127.57125,-95.588154,180.0,top
U2,CC2500,Texas_S-PVQFN-N20_EP2.4x2.4mm,120.9,-83.85,0.0,top
Y1,Crystal_GND24 Cload=10pF 26MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,127.71625,-87.988154,180.0,top
Y2,Crystal_GND24 Cload=10pF 26MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,121.0,-91.1,0.0,top
